N,Min,Max,Random Number,Steps
10000,1,50000,18843,167
10000,1,50000,29413,165
10000,1,50000,31976,54
10000,1,50000,8426,83
10000,1,50000,13233,45
10000,1,50000,28716,121
10000,1,50000,18616,154
10000,1,50000,4040,64
10000,1,50000,6254,155
10000,1,50000,13609,89
10000,1,50000,2658,53
10000,1,50000,23085,144
10000,1,50000,18266,61
10000,1,50000,18775,61
10000,1,50000,2366,89
10000,1,50000,20638,149
10000,1,50000,6960,31
10000,1,50000,30614,85
10000,1,50000,4997,178
10000,1,50000,15366,40
10000,1,50000,24196,69
10000,1,50000,12341,37
10000,1,50000,10257,55
10000,1,50000,28771,165
10000,1,50000,25513,201
10000,1,50000,20816,30
10000,1,50000,28004,33
10000,1,50000,30656,59
10000,1,50000,21458,48
10000,1,50000,18780,110
10000,1,50000,6636,44
10000,1,50000,26979,77
10000,1,50000,31095,59
10000,1,50000,18432,30
10000,1,50000,12678,55
10000,1,50000,16711,141
10000,1,50000,2555,58
10000,1,50000,28966,103
10000,1,50000,15424,27
10000,1,50000,19405,167
10000,1,50000,12939,169
10000,1,50000,18003,141
10000,1,50000,23139,82
10000,1,50000,31150,72
10000,1,50000,27721,90
10000,1,50000,14899,115
10000,1,50000,22961,82
10000,1,50000,12340,37
10000,1,50000,23466,100
10000,1,50000,8825,140
10000,1,50000,12267,125
10000,1,50000,27050,46
10000,1,50000,16156,146
10000,1,50000,31718,147
10000,1,50000,32406,67
10000,1,50000,14865,40
10000,1,50000,12525,112
10000,1,50000,13478,182
10000,1,50000,1023,62
10000,1,50000,3092,123
10000,1,50000,16488,128
10000,1,50000,28899,59
10000,1,50000,7549,39
10000,1,50000,10814,68
10000,1,50000,9793,166
10000,1,50000,32149,28
10000,1,50000,16118,53
10000,1,50000,26731,77
10000,1,50000,6195,186
10000,1,50000,26007,126
10000,1,50000,932,85
10000,1,50000,380,107
10000,1,50000,32743,67
10000,1,50000,23808,25
10000,1,50000,15385,177
10000,1,50000,32079,98
10000,1,50000,6424,23
10000,1,50000,30384,72
10000,1,50000,7553,132
10000,1,50000,13039,81
10000,1,50000,15093,40
10000,1,50000,22569,113
10000,1,50000,30248,41
10000,1,50000,15111,208
10000,1,50000,20678,56
10000,1,50000,24481,64
10000,1,50000,2876,53
10000,1,50000,26269,77
10000,1,50000,17875,97
10000,1,50000,28757,121
10000,1,50000,979,49
10000,1,50000,3580,100
10000,1,50000,26753,95
10000,1,50000,22815,56
10000,1,50000,1327,52
10000,1,50000,19442,167
10000,1,50000,2239,138
10000,1,50000,2379,76
10000,1,50000,25665,51
10000,1,50000,31036,147
10000,1,50000,21920,131
10000,1,50000,1959,81
10000,1,50000,4205,95
10000,1,50000,31807,129
10000,1,50000,15945,58
10000,1,50000,24537,51
10000,1,50000,7053,119
10000,1,50000,16633,203
10000,1,50000,23054,100
10000,1,50000,31221,178
10000,1,50000,824,90
10000,1,50000,27958,90
10000,1,50000,7128,49
10000,1,50000,4175,113
10000,1,50000,8004,52
10000,1,50000,9479,197
10000,1,50000,21706,162
10000,1,50000,14222,151
10000,1,50000,22921,144
10000,1,50000,29552,72
10000,1,50000,18980,53
10000,1,50000,11522,174
10000,1,50000,4840,20
10000,1,50000,11105,192
10000,1,50000,25191,157
10000,1,50000,24376,64
10000,1,50000,22925,30
10000,1,50000,21735,193
10000,1,50000,11706,143
10000,1,50000,25803,77
10000,1,50000,21616,162
10000,1,50000,31396,129
10000,1,50000,19852,43
10000,1,50000,21884,162
10000,1,50000,2082,125
10000,1,50000,27517,152
10000,1,50000,32635,160
10000,1,50000,14725,133
10000,1,50000,22726,82
10000,1,50000,17554,141
10000,1,50000,20340,35
10000,1,50000,811,134
10000,1,50000,27997,134
10000,1,50000,22387,69
10000,1,50000,13596,120
10000,1,50000,18067,48
10000,1,50000,22600,87
10000,1,50000,16529,141
10000,1,50000,8303,127
10000,1,50000,9174,122
10000,1,50000,10503,130
10000,1,50000,16882,58
10000,1,50000,14759,45
10000,1,50000,5975,49
10000,1,50000,19271,74
10000,1,50000,13865,89
10000,1,50000,22624,131
10000,1,50000,9301,122
10000,1,50000,22300,69
10000,1,50000,12166,156
10000,1,50000,30201,209
10000,1,50000,3516,149
10000,1,50000,13963,89
10000,1,50000,6026,23
10000,1,50000,7997,52
10000,1,50000,4417,95
10000,1,50000,17483,48
10000,1,50000,25245,108
10000,1,50000,10563,55
10000,1,50000,22701,131
10000,1,50000,18380,61
10000,1,50000,11267,60
10000,1,50000,11666,81
10000,1,50000,5497,98
10000,1,50000,29305,46
10000,1,50000,19981,92
10000,1,50000,4489,90
10000,1,50000,31388,129
10000,1,50000,16955,84
10000,1,50000,19084,105
10000,1,50000,7423,238
10000,1,50000,2209,76
10000,1,50000,27966,95
10000,1,50000,6027,186
10000,1,50000,25638,126
10000,1,50000,24572,157
10000,1,50000,15095,115
10000,1,50000,9278,91
10000,1,50000,2229,45
10000,1,50000,3486,180
10000,1,50000,28262,103
10000,1,50000,10805,117
10000,1,50000,5702,28
10000,1,50000,1479,96
10000,1,50000,9624,60
10000,1,50000,7893,52
10000,1,50000,32252,98
10000,1,50000,16668,115
10000,1,50000,21105,56
10000,1,50000,22793,131
10000,1,50000,30058,90
10000,1,50000,12281,125
10000,1,50000,12456,125
10000,1,50000,16181,66
10000,1,50000,15536,40
10000,1,50000,30728,41
10000,1,50000,23827,113
10000,1,50000,4460,95
10000,1,50000,4071,157
10000,1,50000,12307,94
10000,1,50000,29221,196
10000,1,50000,9186,109
